"","-3sd","-2sd","-1sd","Mean","+1sd","+2sd","+3sd"
"HUF",1,1,1,1,0,0,0
"PLN",0.6601,0.411,0.2005,0.0827,0.0314,0.0115,0.00419999999999998
"CZK",1,1,1,1,0,0,0
"RON",0.0062,0.0106,0.0182,0.031,0.0524,0.0871,0.1414
"RUB",0.00109999999999999,0.00249999999999995,0.00560000000000005,0.0125999999999999,0.0283,0.0620000000000001,0.1305
"TRY",1,1,0.9988,0.9489,0.2956,0.0094,2e-04
"BGN",1,1,1,1,0,0,0
"NOK",0.7219,0.6672,0.6076,0.5446,0.4801,0.4163,0.3552
"ISK",0.9836,0.8956,0.5512,0.1495,0.0245,0.0036,5e-04
"UAH",0.0072,0.0082,0.0095,0.0109,0.0126,0.0145,0.0167
"HRK",1,1,1,1,0,0,0
