Date,HUF,RUB,RON,TRY,BGN,CZK,EEK,HRK,LVL,NOK,PLN,ISK,UAH,RON1MD,TRY1MD,BGN1MD,CZK1MD,HRK1MD,NOK1MD,PLN1MD,ISK1MD,UAH1MD,HUF1MD,RUB1MD,RON1MD,TRY3MD,BGN3MD,CZK3MD,HRK3MD,NOK3MD,PLN3MD,ISK3MD,UAH3MD,HUF3MD,RUB3MD,JPY,EUR,CHF,USD1MD,USD3MD,CHF1MD,CHF3MD,EUR1MD,EUR3MD,JPY1MD,JPY3MD
31/12/2013,215.97,32.89,3.243,2.145,1.4229,19.866,,5.5424,0.5078,6.0663,3.016,115.18,8.23,1.3,7.35,0.13,0.03,0.15,1.51,2.41,5.5,14,1.83,6.2,1.85,7.9,0.3,0.07,0.4,1.56,2.47,5.7,16,2.01,6.3,105.3,1.3745,0.8928,0.12,0.25,-0.18,-0.1,0.12,0.2,0.03,-0.02
30/11/2013,221.75,33.1388,3.2603,2.0176,1.4394,20.137,,5.6179,0.5172,6.1257,3.0932,119.45,8.225,1.36,6.37,0.13,0.04,0.15,1.36,2.3,5.5,4.5,1.96,6.05,2.21,6.78,0.3,0.07,0.65,1.49,2.38,5.7,6,1.99,6.3,102.41,1.3589,0.9061,0.18,0.18,-0.12,-0.07,0.12,0.14,0.03,0.05
31/10/2013,217.01,32.079,3.2627,1.9948,1.4397,18.98,,5.6087,0.5169,5.9396,3.0815,120.38,8.1855,1.7,5.95,0.1,0.05,0.2,1.27,2.38,5.5,4,2.26,5.75,2.2,5.97,0.45,0.16,0.95,1.44,2.38,5.75,7.5,2.25,6.3,98.35,1.3582,0.9066,0.13,0.17,-0.12,-0.07,0.02,0.16,0.07,0.05
30/09/2013,219.78,32.379,3.2949,2.0159,1.4456,18.966,,5.6216,0.5189,6.0103,3.1204,120.21,8.1895,2.45,7,0.15,0.05,0.6,1.43,2.22,5.45,4,2.54,6.23,2.81,7.25,0.45,0.16,1.31,1.51,2.28,5.7,6,2.64,6.35,98.21,1.3524,0.9048,0.17,0.23,-0.1,-0.2,0.07,0.11,0.01,0.02
31/08/2013,227.45,33.258,3.3494,2.0383,1.4789,19.448,,5.7143,0.5314,6.1113,3.2257,119.7,8.1235,3.39,6.8,0.1,0.05,0.7,1.32,2.28,5.7,4,3.19,6.15,3.29,7.4,0.46,0.16,1.35,1.48,2.37,5.7,7,3.24,6.35,98.15,1.322,0.9298,0.17,0.23,-0.15,-0.14,0.01,0.05,0.01,0.02
31/07/2013,224.64,32.955,3.3174,1.9333,1.4703,19.475,,5.6416,0.5281,5.8893,3.1945,118.77,8.125,3.95,6.35,0.1,0.05,0.4,1.38,2.31,5.5,2.5,3.21,6.1,4,6.45,0.62,0.16,1.5,1.54,2.4,5.7,6,3.29,6.77,97.86,1.33,0.9261,0.17,0.23,-0.09,-0.07,0.01,0.05,0.01,0.02
30/06/2013,226.64,32.8305,3.4271,1.9268,1.5031,19.97,,5.7244,0.5389,6.067,3.3221,123.82,8.153,4.11,5.35,0.31,0.04,1.6,1.26,2.38,5.55,4,3.5,6.45,4.11,5.57,0.65,0.15,2.3,1.46,2.42,5.7,5,3.47,6.62,99.12,1.3008,0.9447,0.17,0.24,-0.15,-0.13,0.01,0.05,0.01,0.02
31/05/2013,228.23,31.9175,3.377,1.8748,1.5047,19.789,,5.7835,0.539,5.8671,3.2839,122.38,8.15,3.61,4.2,0.99,0.04,0.01,1.38,2.73,5.7,2.75,3.83,6.2,3.66,4.2,1.19,0.15,1.05,1.56,2.58,5.7,6.5,3.63,6.7,100.46,1.2995,0.9549,0.17,0.24,-0.08,-0.13,0.01,0.05,0.01,0.02
30/04/2013,227.28,31.123,3.2842,1.791,1.485,19.569,,5.7547,0.531,5.7676,3.1595,116.07,8.09,3.6,5,1.11,0.04,1,1.45,3.02,5.55,4.5,4.03,6.5,3.65,5.1,1.31,0.15,0.55,1.6,2.62,5.7,5,3.6,6.6,97.41,1.3166,0.9291,0.17,0.24,-0.1,-0.08,0.01,0.05,0.07,0.1
31/03/2013,236.85,31.0725,3.4437,1.8075,1.5255,20.045,,5.9247,0.5466,5.8443,3.2545,123.52,8.134,4.61,5.1,1.07,0.04,0.15,1.52,3.2,5.6,3,4.32,5.85,4.76,5.25,1.3,0.15,0.5,1.68,3.17,5.65,4,4.25,6.75,94.19,1.2818,0.9491,0.18,0.43,-0.1,-0.1,0.01,0.05,0.03,0.07
