DATE,TEDRATE
31 January 1986,1.08
28 February 1986,0.95
31 March 1986,1
30 April 1986,0.88
31 May 1986,0.84
30 June 1986,0.86
31 July 1986,0.83
31 August 1986,0.66
30 September 1986,0.81
31 October 1986,0.82
30 November 1986,0.73
31 December 1986,0.86
31 January 1987,0.79
28 February 1987,0.85
31 March 1987,0.9
30 April 1987,1.23
31 May 1987,1.71
30 June 1987,1.57
31 July 1987,1.3
31 August 1987,1.01
30 September 1987,1.24
31 October 1987,2.26
30 November 1987,1.84
31 December 1987,2.21
31 January 1988,1.42
29 February 1988,1.18
31 March 1988,1.16
30 April 1988,1.29
31 May 1988,1.25
30 June 1988,1.28
31 July 1988,1.49
31 August 1988,1.54
30 September 1988,1.19
31 October 1988,1.29
30 November 1988,1.25
31 December 1988,1.35
31 January 1989,1.14
28 February 1989,1.2
31 March 1989,1.5
30 April 1989,1.52
31 May 1989,1.35
30 June 1989,1.25
31 July 1989,1.08
31 August 1989,0.93
30 September 1989,1.22
31 October 1989,1.15
30 November 1989,0.87
31 December 1989,0.89
31 January 1990,0.71
28 February 1990,0.63
31 March 1990,0.59
30 April 1990,0.8
31 May 1990,0.74
30 June 1990,0.63
31 July 1990,0.6
31 August 1990,0.65
30 September 1990,0.84
31 October 1990,1
30 November 1990,1.11
31 December 1990,1.17
31 January 1991,1.12
28 February 1991,0.78
31 March 1991,0.67
30 April 1991,0.58
31 May 1991,0.6
30 June 1991,0.64
31 July 1991,0.56
31 August 1991,0.44
30 September 1991,0.4
31 October 1991,0.48
30 November 1991,0.52
31 December 1991,0.52
31 January 1992,0.38
29 February 1992,0.33
31 March 1992,0.35
30 April 1992,0.42
31 May 1992,0.33
30 June 1992,0.34
31 July 1992,0.31
31 August 1992,0.33
30 September 1992,0.38
31 October 1992,0.58
30 November 1992,0.67
31 December 1992,0.42
31 January 1993,0.35
28 February 1993,0.31
31 March 1993,0.29
30 April 1993,0.36
31 May 1993,0.28
30 June 1993,0.27
31 July 1993,0.26
31 August 1993,0.24
30 September 1993,0.27
31 October 1993,0.37
30 November 1993,0.38
31 December 1993,0.32
31 January 1994,0.3
28 February 1994,0.3
31 March 1994,0.38
30 April 1994,0.44
31 May 1994,0.5
30 June 1994,0.5
31 July 1994,0.52
31 August 1994,0.44
30 September 1994,0.51
31 October 1994,0.68
30 November 1994,0.59
31 December 1994,0.79
31 January 1995,0.64
28 February 1995,0.49
31 March 1995,0.54
30 April 1995,0.58
31 May 1995,0.46
30 June 1995,0.53
31 July 1995,0.47
31 August 1995,0.5
30 September 1995,0.59
31 October 1995,0.66
