"","-3sd","-2sd","-1sd","Mean","+1sd","+2sd","+3sd"
"HUF",0.002,0.00690000000000002,0.0242,0.0807,0.2375,0.5249,0.7967
"PLN",0.000399999999999956,0.00160000000000005,0.00629999999999997,0.0242,0.0887,0.2766,0.6003
"CZK",0.002,0.0069,0.0234,0.077,0.2247,0.5019,0.7779
"RON",0.00139999999999996,0.00429999999999997,0.0131,0.0392,0.1119,0.28,0.5454
"RUB",0.000800000000000023,0.00219999999999998,0.00649999999999995,0.0189,0.0537,0.143,0.3291
"TRY",0.1082,0.1052,0.1022,0.0993,0.0965,0.0937,0.091
"BGN",0.00519999999999998,0.0145,0.0403,0.1066,0.2533,0.491,0.7328
"NOK",0.1979,0.1938,0.1898,0.1859,0.182,0.1782,0.1745
"ISK",0.9997,0.9013,0.0242,1e-04,0,0,0
"UAH",0.9935,0.6799,0.0286999999999999,0.000399999999999956,0,0,0
"HRK",0.00270000000000004,0.00729999999999997,0.0194,0.0506,0.1257,0.2793,0.5109
