,Date,AL,AL1M,BA,BA1M,DE,DE1M,EU,EU1M,GR,GR1M,HR,HR1M,RS,RS1M,RU,RU1M,SI,SI1M,TR,TR1M,UA,UA1M,US,US1M,VIX,TED
1,Jan-90,NA,NA,NA,NA,1.6918,11.09,NA,NA,158.025,25.4,NA,47.5,NA,NA,NA,NA,NA,NA,0.00233086,47.5,NA,NA,1,10.11,25.360001,0.71
2,Feb-90,NA,NA,NA,NA,1.676,11.24,NA,NA,157.921,25.3,NA,46.73,NA,NA,NA,NA,NA,NA,0.00237997,46.73,NA,NA,1,10,21.99,0.63
3,Mar-90,NA,NA,NA,NA,1.7045,11.52,NA,NA,162.471,25.3,NA,46.67,NA,NA,NA,NA,NA,NA,0.00245519,46.67,NA,NA,1,10,19.73,0.59
4,Apr-90,NA,NA,NA,NA,1.6882,11.55,NA,NA,163.906,26.21,NA,46.71,NA,NA,NA,NA,NA,NA,0.00250229,46.71,NA,NA,1,10,19.52,0.8
5,May-90,NA,NA,NA,NA,1.6617,11.58,NA,NA,163.523,26.5,NA,46.85,NA,NA,NA,NA,NA,NA,0.00255006,46.85,NA,NA,1,10,17.370001,0.74
6,Jun-90,NA,NA,NA,NA,1.684,11.6,NA,NA,164.839,27.7,NA,46.89,NA,NA,NA,NA,NA,NA,0.00262907,46.89,NA,NA,1,10,15.5,0.63
7,Jul-90,NA,NA,NA,NA,1.6399,11.58,NA,NA,160.631,27.7,NA,46.96,NA,NA,NA,NA,NA,NA,0.00266485,46.96,NA,NA,1,10,21.110001,0.6
8,Aug-90,NA,NA,NA,NA,1.5707,11.65,NA,NA,154.879,29.4,NA,47.01,NA,NA,NA,NA,NA,NA,0.00268002,47.01,NA,NA,1,10,29.9,0.65
9,Sep-90,NA,NA,NA,NA,1.5697,11.69,NA,NA,155.087,29.45,NA,47.11,NA,NA,NA,NA,NA,NA,0.00271851,47.11,NA,NA,1,10,29.110001,0.84
10,Oct-90,NA,NA,NA,NA,1.5233,11.73,NA,NA,153.066,29.45,NA,47.76,NA,NA,NA,NA,NA,NA,0.0027424,47.76,NA,NA,1,10,30.040001,1
