,Date,DE.LR,AL.LR,SI.LR,GR.LR,RS.LR,US.LR,DE.ER,HR.LR,RS.ER,U2.LR,GR.ER,AL.ER,U2.ER,UA.LR,US.ER,SI.ER,TR.ER,HR.ER,RU.LR,UA.ER,BA.LR,RU.ER,BA.ER,TU.ER,VIX
1,Jan 1990,11.09,NA,NA,158.025,NA,1,1.6918,NA,NA,NA,25.4,NA,NA,NA,10.11,NA,0.00233086,NA,NA,NA,NA,NA,NA,11.09,25.360001
2,Feb 1990,11.24,NA,NA,157.921,NA,1,1.676,NA,NA,NA,25.3,NA,NA,NA,10,NA,0.00237997,NA,NA,NA,NA,NA,NA,11.24,21.99
3,Mar 1990,11.52,NA,NA,162.471,NA,1,1.7045,NA,NA,NA,25.3,NA,NA,NA,10,NA,0.00245519,NA,NA,NA,NA,NA,NA,11.52,19.73
4,Apr 1990,11.55,NA,NA,163.906,NA,1,1.6882,NA,NA,NA,26.21,NA,NA,NA,10,NA,0.00250229,NA,NA,NA,NA,NA,NA,11.55,19.52
5,May 1990,11.58,NA,NA,163.523,NA,1,1.6617,NA,NA,NA,26.5,NA,NA,NA,10,NA,0.00255006,NA,NA,NA,NA,NA,NA,11.58,17.370001
6,Jun 1990,11.6,NA,NA,164.839,NA,1,1.684,NA,NA,NA,27.7,NA,NA,NA,10,NA,0.00262907,NA,NA,NA,NA,NA,NA,11.6,15.5
7,Jul 1990,11.58,NA,NA,160.631,NA,1,1.6399,NA,NA,NA,27.7,NA,NA,NA,10,NA,0.00266485,NA,NA,NA,NA,NA,NA,11.58,21.110001
8,Aug 1990,11.65,NA,NA,154.879,NA,1,1.5707,NA,NA,NA,29.4,NA,NA,NA,10,NA,0.00268002,NA,NA,NA,NA,NA,NA,11.65,29.9
9,Sep 1990,11.69,NA,NA,155.087,NA,1,1.5697,NA,NA,NA,29.45,NA,NA,NA,10,NA,0.00271851,NA,NA,NA,NA,NA,NA,11.69,29.110001
10,Oct 1990,11.73,NA,NA,153.066,NA,1,1.5233,NA,NA,NA,29.45,NA,NA,NA,10,NA,0.0027424,NA,NA,NA,NA,NA,NA,11.73,30.040001
11,Nov 1990,11.91,NA,NA,152.261,NA,1,1.487,NA,NA,NA,29.5,NA,NA,NA,10,NA,0.00277655,NA,NA,NA,NA,NA,NA,11.91,22.16
12,Dec 1990,11.97,1,NA,155.558,NA,1,1.492,NA,NA,NA,29.5,NA,NA,NA,10,NA,0.00287393,NA,NA,NA,NA,NA,NA,11.97,26.379999
13,Jan 1991,11.85,NA,NA,159.868,NA,1,1.51,NA,NA,NA,29.4,NA,NA,NA,9.52,NA,0.00299071,NA,NA,NA,NA,NA,NA,11.85,20.91
14,Feb 1991,12.18,NA,NA,158.511,NA,1,1.4799,NA,NA,NA,29.5,NA,NA,NA,9.05,NA,0.00313457,NA,NA,NA,NA,NA,NA,12.18,21.23
15,Mar 1991,12.22,NA,NA,172.749,NA,1,1.6022,NA,NA,NA,29.5,NA,NA,NA,9,NA,0.0035305,NA,NA,NA,NA,NA,NA,12.22,16.879999
